,A Predicted,B Predicted,C Predicted,A Error,B Error,C Error,MSE,Train Time
42,-0.319199982,0.108058133,0.080510385,-2.063999941,-0.729854667,-0.838979229,1.015847292,0
43,-0.741885823,0.204562105,0.181706048,-3.472952744,-0.488594738,-0.636587904,6.486746804,0.015625
44,-0.283121871,0.173654469,0.15672252,-1.943739572,-0.565863829,-0.686554961,2.276955386,0
45,-0.099829095,-0.033047695,0.074273261,-1.332763649,-1.082619239,-0.851453479,0.087915935,0.015625
46,0.647369735,0.003510022,0.00274325,1.157899116,-0.991224945,-0.9945135,0.027992042,0.078125
47,-0.94723678,0.003123459,0.088758485,-4.157455935,-0.992191353,-0.822483029,0.251081031,0
48,0.105325701,-0.059891185,0.015759163,-0.64891433,-1.149727962,-0.968481674,0.04394853,0.015625
49,-0.496356397,0.055998094,-0.016477718,-2.654521324,-0.860004765,-1.032955436,0.062685624,0.015625
50,1.028928796,0.014049954,0.113411488,2.429762654,-0.964875114,-0.773177023,0.516164488,0.015625
51,-0.184409815,-0.006673506,0.125403539,-1.614699383,-1.016683765,-0.749192921,0.461188208,0
52,-0.189593924,0.063735869,0.180018266,-1.631979747,-0.840660329,-0.639963469,0.72853665,0.015625
53,-1.125408107,0.061325048,0.077152568,-4.751360357,-0.846687381,-0.845694865,0.806929527,0
54,-0.733668428,0.052747209,0.151825567,-3.445561425,-0.868131978,-0.696348866,1.177236499,0.015625
55,-0.205219432,0.027437466,0.007446428,-1.684064773,-0.931406336,-0.985107145,0.106868411,0.015625
56,-0.834530908,0.126875868,0.230549588,-3.781769693,-0.682810331,-0.538900823,2.645343651,0
57,0.537492941,0.086234755,0.1093776,0.791643138,-0.784413113,-0.781244799,0.739962496,0.015625
58,-0.298056191,0.171939738,0.12179649,-1.993520637,-0.570150655,-0.756407021,2.34373134,0
59,0.612125828,-0.069101315,0.068621085,1.040419426,-1.172753287,-0.86275783,0.037471069,0.015625
60,0.742138989,0.019901543,0.072866552,1.473796629,-0.950246142,-0.854266896,1.049791272,0.015625
61,1.031874481,-0.011141194,0.015541851,2.439581604,-1.027852985,-0.968916298,0.398653717,0
62,0.332347071,0.1406118,0.114114325,0.107823571,-0.6484705,-0.771771349,1.009515121,0
63,0.830919285,-0.004386159,0.03843376,1.769730949,-1.010965397,-0.92313248,0.060763502,0.015625
64,0.185249562,-0.056631527,0.033936657,-0.382501459,-1.141578818,-0.932126685,0.040552366,0.015625
65,-0.284670315,0.035123229,-0.088234116,-1.948901051,-0.912191926,-1.176468231,0.07670109,0
66,0.22654306,0.003452898,0.002669588,-0.244856466,-0.991367755,-0.994660824,0.031646909,0.109375
67,-0.262579847,0.085220355,0.108111239,-1.875266157,-0.786949112,-0.783777523,1.114097322,0.109375
68,-0.319785284,0.047569389,0.034633506,-2.065950947,-0.881076527,-0.930732989,0.018809531,0
69,0.542243808,-0.049850046,-0.065741606,0.807479359,-1.124625116,-1.131483212,0.163153882,0.015625
70,-0.563222564,0.055309034,0.081478902,-2.877408546,-0.861727416,-0.837042196,0.34117871,0
71,0.604936212,0.026779062,-0.036768557,1.016454039,-0.933052344,-1.073537114,0.021010901,0.015625
72,0.388792925,0.145293453,0.05770141,0.295976418,-0.636766367,-0.88459718,1.132815206,0.015625
73,-0.587454474,0.090920707,0.047020641,-2.958181581,-0.772698232,-0.905958718,0.551188487,0
74,0.787099441,-0.058586199,-0.001022341,1.623664804,-1.146465497,-1.002044682,0.078321404,0.015625
